cell_id,replicate,model,harness_config,scaffold,memory,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model
metaharness-cli-data-pipeline-rust-cheap-mem-none,1,cheap,metaharness,none,none,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.042677,169.5630718859902,15863,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-none,2,cheap,metaharness,none,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.014188,233.2928196129942,20758,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.045292,435.7801798260043,55095,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-none,1,cheap,metaharness,none,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.040224602999,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,typescript,cli-data-pipeline,fail,0.0,0.7333333333333334,0.0,1200.015829216005,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-none,2,cheap,metaharness,none,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.0224751210044,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-agenticow,1,cheap,metaharness,none,agenticow,typescript,cli-data-pipeline,pass,1.0,0.7333333333333334,0.114837,476.5525466609979,125019,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-none,2,cheap,metaharness,none,none,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.026349,160.3665858059976,12377,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-none,1,cheap,metaharness,none,none,go,cli-data-pipeline,fail,0.9,1.0,0.026229,310.179863420999,29231,metaharness,req_cov_raw=0.9,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-none,2,cheap,metaharness,none,none,rust,cli-data-pipeline,pass,1.0,0.6666666666666666,0.134049,753.0923661730048,141940,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.129593,980.913430681001,178889,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,python,cli-data-pipeline,pass,0.9090909090909091,0.8333333333333334,0.027472,309.79450698899745,34527,metaharness,req_cov_raw=0.9090909090909091,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.018508,152.9438350470009,14361,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-agenticow,2,cheap,metaharness,none,agenticow,rust,cli-data-pipeline,pass,1.0,0.6666666666666666,0.121389,1011.2499318899936,126439,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-none,3,cheap,metaharness,none,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,1200.0065080880013,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-none,3,cheap,metaharness,none,none,rust,cli-data-pipeline,pass,0.0,0.0,0.090063,746.2616144380008,138466,metaharness,req_cov_raw=0.0,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,0.022572,339.1598561449937,26241,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-cheap-mem-none,3,cheap,metaharness,none,none,go,cli-data-pipeline,pass,1.0,0.0,0.092893,624.4287560849916,84552,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-none,3,cheap,metaharness,none,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.196401,988.8168810329953,126376,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-python-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.039184,201.15138353600923,40200,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-cheap-mem-agenticow,3,cheap,metaharness,none,agenticow,typescript,cli-data-pipeline,pass,1.0,0.7333333333333334,0.036383,227.29748420800024,25768,metaharness,req_cov_raw=1.0,deepseek-v4-pro
