cell_id,replicate,model,harness_config,scaffold,language,task,status,requirement_coverage,code_quality,cost_per_task,latency_s,tokens,runner,notes,x_raw_model
metaharness-cli-data-pipeline-python-frontier,3,frontier,metaharness,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.954687,219.1618968230032,108894,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-cli-data-pipeline-typescript-cheap,3,cheap,metaharness,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.0,720.1032582390035,0,metaharness,req_cov_raw=None,deepseek-v4-pro
metaharness-cli-data-pipeline-typescript-frontier,3,frontier,metaharness,none,typescript,cli-data-pipeline,pass,0.8182,0.0,1.245336,288.3417288999917,143251,metaharness,req_cov_raw=0.8182,opus-4.8
metaharness-cli-data-pipeline-go-cheap,3,cheap,metaharness,none,go,cli-data-pipeline,pass,1.0,0.0,0.096791,397.8989210160071,131599,metaharness,req_cov_raw=1.0,deepseek-v4-pro
metaharness-cli-data-pipeline-go-frontier,3,frontier,metaharness,none,go,cli-data-pipeline,pass,1.0,0.9555555555555556,1.434213,341.9657508399978,153208,metaharness,req_cov_raw=1.0,opus-4.8
metaharness-cli-data-pipeline-rust-cheap,3,cheap,metaharness,none,rust,cli-data-pipeline,fail,0.9167,0.0,0.039114,534.3472923380032,54813,metaharness,req_cov_raw=0.9167,deepseek-v4-pro
metaharness-cli-data-pipeline-rust-frontier,3,frontier,metaharness,none,rust,cli-data-pipeline,fail,0.5454545454545454,0.0,1.650211,401.03435664300923,171276,metaharness,req_cov_raw=0.5454545454545454,opus-4.8
claude-code-rest-api-crud-python-cheap,1,cheap,claude-code,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.2569382,144.36238599500211,1007057,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-python-frontier,1,frontier,claude-code,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.8967894999999998,97.56926865699643,531473,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-typescript-cheap,1,cheap,claude-code,none,typescript,rest-api-crud,fail,0.0,0.0,0.262656,106.76312895699812,1079110,claude-code,req_cov_raw=None,haiku
claude-code-rest-api-crud-typescript-frontier,1,frontier,claude-code,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,1.0065045,123.83803395499126,554312,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-go-cheap,1,cheap,claude-code,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.27570089999999997,192.94403919800243,1072131,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-go-frontier,1,frontier,claude-code,none,go,rest-api-crud,pass,1.0,1.0,1.1579325,182.45839760100353,665754,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-rust-cheap,1,cheap,claude-code,none,rust,rest-api-crud,fail,0.0,0.8333333333333334,0.2576625,129.61333132599248,1128648,claude-code,req_cov_raw=None,haiku
claude-code-rest-api-crud-rust-frontier,1,frontier,claude-code,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.102028,149.13761847700516,662807,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-python-cheap,2,cheap,claude-code,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.1938366,102.92876461999549,666131,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-python-frontier,2,frontier,claude-code,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.979022,104.15190736000659,682895,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-typescript-cheap,2,cheap,claude-code,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.23704709999999998,221.5084630370111,944311,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-typescript-frontier,2,frontier,claude-code,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,1.5082814999999996,217.9665256510052,1265177,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-go-cheap,2,cheap,claude-code,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.2251308,135.25148450500274,827995,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-go-frontier,2,frontier,claude-code,none,go,rest-api-crud,pass,1.0,1.0,1.2887054999999998,181.65744758499204,892987,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-rust-cheap,2,cheap,claude-code,none,rust,rest-api-crud,fail,0.0,0.8333333333333334,0.252572,141.5332709949871,1098733,claude-code,req_cov_raw=None,haiku
claude-code-rest-api-crud-rust-frontier,2,frontier,claude-code,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.5446180000000003,230.73863879599958,1160127,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-python-cheap,3,cheap,claude-code,none,python,rest-api-crud,pass,1.0,0.8333333333333334,0.17919700000000005,113.28609292399778,504271,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-python-frontier,3,frontier,claude-code,none,python,rest-api-crud,pass,1.0,0.7888888888888889,0.8568749999999998,88.59393575400463,438577,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-typescript-cheap,3,cheap,claude-code,none,typescript,rest-api-crud,fail,0.0,0.7333333333333334,0.25107749999999995,274.06945161600015,1084667,claude-code,req_cov_raw=None,haiku
claude-code-rest-api-crud-typescript-frontier,3,frontier,claude-code,none,typescript,rest-api-crud,pass,1.0,0.7333333333333334,0.9140290000000001,101.9259623389953,449974,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-go-cheap,3,cheap,claude-code,none,go,rest-api-crud,pass,1.0,0.9555555555555556,0.2504338,157.49005804200715,885285,claude-code,req_cov_raw=1.0,haiku
claude-code-rest-api-crud-go-frontier,3,frontier,claude-code,none,go,rest-api-crud,pass,1.0,1.0,1.2123929999999998,173.0713736119942,774021,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-rest-api-crud-rust-cheap,3,cheap,claude-code,none,rust,rest-api-crud,fail,0.0,0.8333333333333334,0.2520505,138.61927146100788,1078017,claude-code,req_cov_raw=None,haiku
claude-code-rest-api-crud-rust-frontier,3,frontier,claude-code,none,rust,rest-api-crud,pass,1.0,0.8333333333333334,1.0985455,143.08461171700037,653963,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-python-cheap,1,cheap,claude-code,none,python,cli-data-pipeline,fail,0.0,0.7888888888888889,0.28813510000000003,124.15434221600299,1171493,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-python-frontier,1,frontier,claude-code,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,1.0518865,124.82466287098941,532375,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-typescript-cheap,1,cheap,claude-code,none,typescript,cli-data-pipeline,fail,0.0,0.7166666666666667,0.25936250000000005,117.97520576999523,1106833,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-typescript-frontier,1,frontier,claude-code,none,typescript,cli-data-pipeline,pass,1.0,0.0,1.9212954999999998,310.70873101599864,1403528,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-go-cheap,1,cheap,claude-code,none,go,cli-data-pipeline,pass,1.0,0.9555555555555556,0.27337340000000004,155.1450052029977,1162676,claude-code,req_cov_raw=1.0,haiku
claude-code-cli-data-pipeline-go-frontier,1,frontier,claude-code,none,go,cli-data-pipeline,pass,1.0,1.0,1.107813,139.513839354011,570688,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-rust-cheap,1,cheap,claude-code,none,rust,cli-data-pipeline,fail,0.0,0.8333333333333334,0.24119110000000005,104.87915476600756,1078041,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-rust-frontier,1,frontier,claude-code,none,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,1.2259954999999998,176.33870281399868,587220,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-python-cheap,2,cheap,claude-code,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.2723316,182.15820495398657,1167864,claude-code,req_cov_raw=1.0,haiku
claude-code-cli-data-pipeline-python-frontier,2,frontier,claude-code,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.9490074999999999,119.54608238500077,405493,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-typescript-cheap,2,cheap,claude-code,none,typescript,cli-data-pipeline,fail,0.0,0.7333333333333334,0.25033,141.93091374999494,1064332,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-typescript-frontier,2,frontier,claude-code,none,typescript,cli-data-pipeline,pass,1.0,0.0,1.8061280000000004,275.78629922999244,1308972,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-go-cheap,2,cheap,claude-code,none,go,cli-data-pipeline,fail,0.9167,1.0,0.28040839999999995,122.39558303699596,1141150,claude-code,req_cov_raw=0.9167,haiku
claude-code-cli-data-pipeline-go-frontier,2,frontier,claude-code,none,go,cli-data-pipeline,pass,1.0,1.0,1.2286804999999998,160.45572253299179,684030,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-rust-cheap,2,cheap,claude-code,none,rust,cli-data-pipeline,fail,0.9091,0.8333333333333334,0.24410890000000005,145.4081532729906,1093610,claude-code,req_cov_raw=0.9091,haiku
claude-code-cli-data-pipeline-rust-frontier,2,frontier,claude-code,none,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,1.3628345,204.48070980799093,721885,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-python-cheap,3,cheap,claude-code,none,python,cli-data-pipeline,fail,0.0,0.7888888888888889,0.2569061999999999,137.25835616099357,1118627,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-python-frontier,3,frontier,claude-code,none,python,cli-data-pipeline,pass,1.0,0.7888888888888889,0.9086810000000002,105.8953165730054,357528,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-typescript-cheap,3,cheap,claude-code,none,typescript,cli-data-pipeline,fail,0.0,0.0,0.2824575,173.9201786670019,1157394,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-typescript-frontier,3,frontier,claude-code,none,typescript,cli-data-pipeline,fail,0.0,0.0,1.914568,307.2790620320011,1480555,claude-code,req_cov_raw=None,opus-4.8
claude-code-cli-data-pipeline-go-cheap,3,cheap,claude-code,none,go,cli-data-pipeline,fail,0.0,1.0,0.2744628,109.51651208099793,1151144,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-go-frontier,3,frontier,claude-code,none,go,cli-data-pipeline,pass,1.0,1.0,1.2426490000000001,168.81606901100895,691575,claude-code,req_cov_raw=1.0,opus-4.8
claude-code-cli-data-pipeline-rust-cheap,3,cheap,claude-code,none,rust,cli-data-pipeline,fail,0.0,0.8333333333333334,0.28238889999999994,169.73254658299265,1098346,claude-code,req_cov_raw=None,haiku
claude-code-cli-data-pipeline-rust-frontier,3,frontier,claude-code,none,rust,cli-data-pipeline,pass,1.0,0.8333333333333334,1.2760725000000002,185.0690756069962,654113,claude-code,req_cov_raw=1.0,opus-4.8
